Symptoms,Advice
Headache,"Rest in a quiet, dark room and drink plenty of water. Avoid bright lights or loud noise. Eat on time and manage stress with deep breathing. Light stretching or a nap can also help."
Fever,"Stay hydrated with warm water and light soups. Take proper rest and avoid heavy foods. Wear comfortable clothes to keep body cool. If fever stays more than two days, see a doctor."
Cough,"Drink warm water and avoid cold items. Use honey with warm water to soothe the throat. Take steam to clear mucus and rest your voice. Consult a doctor if cough continues."
Cold,"Take steam inhalation twice a day and rest well. Drink warm fluids like ginger tea. Avoid cold drinks and dusty places. Eat fruits rich in vitamin C like oranges."
Stomach pain,"Eat light food like rice, curd, and bananas. Avoid spicy or oily dishes. Drink warm water slowly to relax muscles. If pain is sharp or long-lasting, see a doctor."
Sore throat,"Gargle with warm salt water twice daily. Drink warm tea with honey. Avoid shouting and cold drinks. Rest your voice and stay hydrated."
Body pain,"Take a warm bath or apply a heating pad. Rest your body and drink enough water. Light stretching can reduce stiffness. Avoid overexertion until pain improves."
Eye pain,"Take regular breaks from screens. Wash eyes with clean water. Sit in dim light if eyes hurt. If redness or vision issues occur, consult an eye doctor."
Back pain,"Maintain straight posture while sitting. Do gentle stretches or light yoga. Avoid lifting heavy items. Apply warm compress for comfort."
Dizziness,"Sit or lie down immediately and rest. Drink water or fruit juice to rehydrate. Avoid sudden movements or standing quickly. If dizziness repeats often, consult a doctor."
Fatigue,"Sleep 7–8 hours daily and eat balanced meals. Stay hydrated and take short breaks during tasks. Include fruits and nuts for energy. Avoid excess caffeine or sugar."
Chest pain,"Don’t ignore chest pain — sit down and rest. Avoid heavy meals or stress. If pain feels tight or spreads to arm/jaw, seek emergency medical care."
Vomiting,"Drink small sips of water or ORS frequently. Avoid solid food until you feel better. Eat bland food like rice or toast after recovery. See a doctor if vomiting is continuous."
Diarrhea,"Drink ORS or coconut water often to stay hydrated. Avoid spicy and oily foods. Eat light meals like curd rice or banana. Visit a doctor if it lasts more than a day."
Nausea,"Eat light foods like toast or fruits. Avoid strong smells and heavy meals. Sip ginger tea to soothe your stomach. Get fresh air and rest for some time."
Toothache,"Rinse mouth with warm salt water. Avoid very cold or hot food. Gently brush your teeth and keep the area clean. Visit a dentist if pain continues."
Ear pain,"Apply a warm cloth around the ear for relief. Avoid inserting anything inside the ear. Keep ears dry and clean. Visit a doctor if pain or discharge occurs."
Joint pain,"Do light stretching and gentle exercises. Apply warm compress for stiffness. Eat calcium and vitamin D rich foods. Rest the affected joint if swollen."
